ID_GENE,COSMIC_ID_GENE,GENE_SYMBOL,GENOME_VERSION,FULL_NAME,CHROMOSOME,CHROM_ARM,CHROM_BAND,HGNC_ID,OMIM_ID,ENTREZ_GENE_ID,ENSEMBL_GENE_ID,ENSEMBL_ID_VERSION,FROM_DB,ID_BIOTYPE,VERSION
1,,OR5BE1P,37,olfactory receptor family 5 subfamily BE member 1 pseudogene,11,q,12.1,15273,,,ENSG00000225538,1,Ensembl,49,93
2,,RP1-67K17.4,37,,6,q,24.2,,,,ENSG00000237851,1,Ensembl,45,93
3,,TTTY2,37,"testis-specific transcript, Y-linked 2",24,p,11.2,14023,,,ENSG00000212855,5,Ensembl,45,93
4,,MIR3179-3,37,,16,p,12.3,,,,ENSG00000257527,1,Ensembl,45,93
5,,RPS12P26,37,ribosomal protein S12 pseudogene 26,15,q,26.1,36320,,,ENSG00000225193,5,Ensembl,49,93
6,,OR8L1P,37,olfactory receptor family 8 subfamily L member 1 pseudogene,11,q,12.1,15316,,,ENSG00000254903,1,Ensembl,49,93
7,,IGKV2OR2-2,37,immunoglobulin kappa variable 2/OR2-2 (pseudogene),2,q,11.2,5808,,,ENSG00000271402,1,Ensembl,17,93
8,,PKD1P5,37,"polycystin 1, transient receptor potential channel interacting pseudogene 5",16,p,12.3,30069,,,ENSG00000254681,2,Ensembl,49,93
9,,MIR4311,37,microRNA 4311,15,q,22.31,38207,,100422905,ENSG00000263512,1,Ensembl,10,93
10,,RP3-342P20.2,37,,1,p,34.2,,,,ENSG00000228477,1,Ensembl,49,93
11,,AC017020.1,37,,24,q,11.221,,,,ENSG00000252664,1,Ensembl,10,93
12,,NDUFS5P3,37,NADH:ubiquinone oxidoreductase subunit S5 pseudogene 3,1,p,32.3,44041,,,ENSG00000233664,1,Ensembl,49,93
13,,RP11-307L14.1,37,,5,q,12.3,,,,ENSG00000272370,1,Ensembl,45,93
14,,AC006001.1,37,,7,q,11.21,,,,ENSG00000177418,1,Ensembl,49,93
15,,ZFYVE28,37,zinc finger FYVE-type containing 28,4,p,16.3,29334,614176,57732,ENSG00000159733,9,Ensembl,23,93
16,,TEKT3,37,tektin 3,17,p,12,14293,612683,64518,ENSG00000125409,8,Ensembl,23,93
17,,MTMR9LP,37,"myotubularin related protein 9-like, pseudogene",1,p,35.1,27920,,339483,ENSG00000220785,3,Ensembl,49,93
18,,RNU6-1207P,37,"RNA, U6 small nuclear 1207, pseudogene",10,q,11.21,48170,,,ENSG00000207071,1,Ensembl,32,93
19,,UHRF1,37,ubiquitin like with PHD and ring finger domains 1,19,p,13.3,12556,,,ENSG00000034063,9,Ensembl,40,93
20,,AP000361.2,37,,22,q,11.22,,,,ENSG00000237472,1,Ensembl,49,93
21,,SPINT3,37,"serine peptidase inhibitor, Kunitz type 3",20,q,13.12,11248,613941,10816,ENSG00000101446,7,Ensembl,23,93
22,,IQGAP1,37,IQ motif containing GTPase activating protein 1,15,q,26.1,6110,603379,8826,ENSG00000140575,8,Ensembl,23,93
23,,MIR609,37,microRNA 609,10,q,25.1,32865,,693194,ENSG00000208033,1,Ensembl,10,93
24,,MTND6P8,37,MT-ND6 pseudogene 8,2,q,21.1,39471,,,ENSG00000248136,1,Ensembl,49,93
25,,MIR208B,37,microRNA 208b,14,q,11.2,33669,613613,100126336,ENSG00000215991,1,Ensembl,10,93
26,,RP11-598P20.5,37,,8,p,11.21,,,,ENSG00000254673,1,Ensembl,23,93
27,,ZNF705G,37,zinc finger protein 705G,8,p,23.1,37134,,100131980,ENSG00000215372,5,Ensembl,23,93
28,,RP11-571I18.2,37,,4,q,12,,,,ENSG00000251105,1,Ensembl,49,93
29,,AK1,37,adenylate kinase 1,9,q,34.11,361,103000,203,ENSG00000106992,13,Ensembl,23,93
30,,TEF,37,"TEF, PAR bZIP transcription factor",22,q,13.2,11722,188595,7008,ENSG00000167074,10,Ensembl,23,93
31,,DYRK3,37,dual specificity tyrosine phosphorylation regulated kinase 3,1,q,32.1,3094,603497,8444,ENSG00000143479,11,Ensembl,23,93
32,,RP11-370P15.2,37,,16,q,21,,,,ENSG00000261014,1,Ensembl,45,93
33,,RP11-477L16.2,37,,10,q,23.33,,,,ENSG00000225118,1,Ensembl,49,93
34,,RP11-74C1.2,37,,1,q,21.3,,,,ENSG00000223861,1,Ensembl,49,93
35,,GALNT12,37,polypeptide N-acetylgalactosaminyltransferase 12,9,q,22.33,19877,610290,79695,ENSG00000119514,5,Ensembl,23,93
36,,GAPDHP14,37,glyceraldehyde-3-phosphate dehydrogenase pseudogene 14,21,q,21.3,4160,,,ENSG00000236056,1,Ensembl,49,93
37,,MED13,37,mediator complex subunit 13,17,q,23.2,22474,603808,9969,ENSG00000108510,5,Ensembl,23,93
