ID_TRANSCRIPT,ID_GENE,COSMIC_ID_TRANSCRIPT,GENOME_VERSION,ACCESSION,ACCESSION_VERSION,SOURCE,VERSION,IS_CANONICAL,ID_BIOTYPE,CCDS_ACCESSION,REF_SEQ,FLAGS
140292,1,425977,37,ENST00000425977,1,Ensembl,93,y,24,,,gencode_basic
177322,2,454411,37,ENST00000454411,1,Ensembl,93,y,45,,,gencode_basic
74579,3,417072,37,ENST00000417072,1,Ensembl,93,y,45,,,gencode_basic
109472,4,552753,37,ENST00000552753,1,Ensembl,93,y,45,,,gencode_basic
188588,5,492017,37,ENST00000492017,3,Ensembl,93,y,47,,,gencode_basic
119519,6,534005,37,ENST00000534005,1,Ensembl,93,y,24,,,gencode_basic
20506,7,605025,37,ENST00000605025,1,Ensembl,93,y,17,,,gencode_basic
2667,8,538166,37,ENST00000538166,1,Ensembl,93,n,40,,,
35099,8,356919,37,ENST00000356919,5,Ensembl,93,n,4,,,
70427,8,545364,37,ENST00000545364,1,Ensembl,93,n,40,,,
80323,8,542593,37,ENST00000542593,1,Ensembl,93,n,40,,,gencode_basic
98541,8,439623,37,ENST00000439623,2,Ensembl,93,n,4,,,
109984,8,545970,37,ENST00000545970,1,Ensembl,93,n,40,,,
109302,8,532415,37,ENST00000532415,1,Ensembl,93,y,4,,,
172535,8,544578,37,ENST00000544578,1,Ensembl,93,n,40,,,
40150,9,580794,37,ENST00000580794,1,Ensembl,93,y,10,,,gencode_basic
156740,10,438210,37,ENST00000438210,1,Ensembl,93,y,13,,,gencode_basic
140861,11,516855,37,ENST00000516855,1,Ensembl,93,y,10,,,gencode_basic
35193,12,450668,37,ENST00000450668,1,Ensembl,93,y,13,,,gencode_basic
108005,13,607786,37,ENST00000607786,1,Ensembl,93,y,45,,,gencode_basic
9500,14,325130,37,ENST00000325130,1,Ensembl,93,y,49,,,gencode_basic
4868,15,68893,37,ENST00000290974,2,Ensembl,93,y,23,CCDS33942.1,NM_020972.2,gencode_basic
86341,15,508184,37,ENST00000508184,1,Ensembl,93,n,23,,,cds_end_NF
91097,15,515312,37,ENST00000515312,1,Ensembl,93,n,23,CCDS54708.1,NM_001172659.1,gencode_basic
89933,15,504743,37,ENST00000504743,1,Ensembl,93,n,40,,,
